Position,Symbol,Action,Price,Price (close),Volume,Profit,Time,Time (close)
100001,EURUSD,Buy,1.0825,1.0871,0.1,46.0,2026-06-02T08:15:00Z,2026-06-02T11:40:00Z
100002,GBPUSD,Sell,1.2742,1.269,0.2,104.0,2026-06-04T09:20:00Z,2026-06-04T14:05:00Z
100003,USDJPY,Buy,156.24,155.91,0.1,-21.15,2026-06-07T07:45:00Z,2026-06-07T10:12:00Z
100004,XAUUSD,Buy,2341.5,2354.2,0.05,63.5,2026-06-11T12:10:00Z,2026-06-11T16:30:00Z
100005,AUDUSD,Sell,0.6548,0.6571,0.2,-46.0,2026-06-15T06:30:00Z,2026-06-15T09:55:00Z
100006,USDCAD,Buy,1.3662,1.371,0.1,35.01,2026-06-18T13:05:00Z,2026-06-18T18:20:00Z
100007,NZDUSD,Buy,0.6084,0.6116,0.3,96.0,2026-06-23T05:50:00Z,2026-06-23T12:10:00Z
100008,EURJPY,Sell,169.54,170.12,0.1,-36.9,2026-06-27T10:00:00Z,2026-06-27T15:45:00Z
100009,GBPJPY,Buy,198.25,199.04,0.1,50.18,2026-07-01T08:35:00Z,2026-07-01T13:22:00Z
100010,XAUUSD,Sell,2362.8,2350.4,0.08,99.2,2026-07-04T14:15:00Z,2026-07-04T19:40:00Z
100011,EURUSD,Sell,1.0913,1.0941,0.15,-42.0,2026-07-08T07:10:00Z,2026-07-08T10:05:00Z
100012,USDCHF,Buy,0.8972,0.9011,0.2,86.67,2026-07-11T09:45:00Z,2026-07-11T17:15:00Z
